msoa,entropy_work,entropy_all,gini,hhi,lq,asymmetry
E02000001,6.088661453460688,7.852914495315641,0.2887842023748064,0.03490833746227648,3.816248587780647,0.929030721600381
E02000002,5.778045822828293,6.043249111138166,0.3038208168642951,0.024958677685950403,0.6537998117888476,0.35802469135802467
E02000003,6.042767177770914,5.919630897193044,0.29041740152851264,0.020408163265306117,0.6137556935744112,0.16666666666666666
E02000004,5.817831871491347,5.411411539898687,0.32893518518518516,0.02347222222222222,0.9566678270605062,0.23711340206185566
E02000005,5.7173201094791875,5.489466005622433,0.36641221374045796,0.029427189557718083,1.1514565620151418,0.011583011583011582
E02000007,5.636094352970553,5.453818949899898,0.391097424412094,0.03817715406669685,1.2395862102186344,0.0784313725490196
E02000008,5.954286525334192,5.517213315754733,0.4106675217786329,0.03138210016516895,1.0749676710575415,0.1962025316455696
E02000009,6.262294080248401,5.940292642409176,0.3402340234023402,0.018982438016528918,0.6978774187174388,0.448559670781893
E02000010,5.726566960543641,5.757070319272271,0.38138825324180015,0.029300567107750475,0.8524146545427087,0.40816326530612246
E02000011,5.415467506788024,5.896258745412963,0.33706606942889134,0.03349932095971027,0.9367735956895967,0.03867403314917127
E02000012,5.242557618247934,5.6806982614894785,0.37114387114387115,0.07052998944890838,1.2008818306590652,0.11557788944723618
E02000013,6.144187281243289,6.047007215907115,0.30507936507936506,0.019591836734693873,0.7953677638464273,0.38613861386138615
E02000014,5.69995040018207,5.578672831819471,0.3936170212765957,0.028117297922639704,0.664965368479285,0.3492822966507177
E02000015,5.654617470527054,5.723694119033573,0.3527815468113975,0.029301277235161537,0.7709027435084037,0.35195530726256985
E02000016,5.04380169485379,6.842855743365776,0.3059163059163059,0.04269972451790634,0.89275302336796,0.3684210526315789
E02000017,5.53134250844697,6.041764979672116,0.2479338842975206,0.027491988530949567,0.9462672053852692,0.14925373134328357
E02000018,5.763527489785391,6.38653407652475,0.33107787274453937,0.02651764190225729,0.5534513730086386,0.453416149068323
E02000019,5.815960703879231,6.2227585394690585,0.3512724238631623,0.03515919722347969,0.9839131702865824,0.07236842105263158
E02000020,5.913748246917032,6.2181143423529495,0.3298463858260296,0.024998543208437734,0.8965168345657074,0.06938775510204082
E02000021,5.5195743018916925,5.7504929356462355,0.2994971130564351,0.03248399951696656,1.2207623346673115,0.19469026548672566
E02000022,4.988697781634934,6.643925147601444,0.3075396825396825,0.04157218442932728,1.1778112591865422,0.06666666666666667
E02000023,5.390858148210744,6.041871636739178,0.2830188679245283,0.033201840894148585,1.5864503286596725,0.20812182741116753
E02000024,5.72243983639575,5.915125938018439,0.32292637465051255,0.03314506539833531,1.2523040082114334,0.2054794520547945
E02000025,5.61573670734448,6.038246846422234,0.28319221761844715,0.027653665016302384,1.6557453372728705,0.1689497716894977
E02000026,5.437141169813465,5.770503762746887,0.28692272519433015,0.03124523700655387,1.1192868877922812,0.2366412213740458
E02000027,5.468276416009613,5.998671340151687,0.34098360655737703,0.035,1.7509364284153535,0.1111111111111111
E02000028,5.353940312186128,5.781390872326767,0.2734134749790328,0.03058735222368174,0.8549052941996416,0.26956521739130435
E02000029,5.450261792825227,5.54270940112872,0.29606741573033707,0.03951521272566594,0.8484971188603325,0.11949685534591195
E02000030,5.944941772347133,6.3384434666330876,0.3995664739884393,0.024357646429884056,1.079668005172016,0.05167173252279635
E02000031,6.075564890024117,5.926881350425353,0.2610773673205218,0.02192473191721877,0.722419049272625,0.12037037037037036
E02000032,5.5669522186403535,5.972526970216421,0.23297966401414674,0.03024326101249178,1.0637025333645733,0.16417910447761194
E02000033,5.698821255134544,6.106547060301512,0.2941538461538461,0.026399999999999993,1.1254435512804166,0.15606936416184972
E02000034,5.8345925710772475,6.127615666366467,0.28878504672897193,0.022796750807930817,0.6729509082188083,0.41721854304635764
E02000035,5.570825070780598,6.143016341650335,0.27843836702338487,0.027876866164618843,0.955689496192804,0.152317880794702
E02000036,6.119013259973692,6.543629706041496,0.3645833333333333,0.021602885053044366,0.5379047173855676,0.45064377682403434
E02000037,6.547626441851085,5.923376281972247,0.3521374896631072,0.016117261941994525,0.7280105279821654,0.2958579881656805
E02000038,6.031662640580564,5.852543750694992,0.2866141732283465,0.02473804947609894,0.9294635516542357,0.11894273127753303
E02000039,5.720345118295819,5.877923856851595,0.36583850931677014,0.02561224489795918,0.7656697870652726,0.10236220472440945
E02000040,6.137062864113314,5.734879643515735,0.28483933960589386,0.0187052036594604,0.9212895776590082,0.0038314176245210726
E02000041,6.00575668018133,5.926623057596048,0.34441707717569786,0.021165279429250894,0.6079698896412365,0.1885245901639344
E02000042,5.824734931471245,5.964452286399419,0.2713675213675214,0.02662721893491125,1.3421921748445242,0.21509433962264152
E02000043,5.759247839759289,6.006931735927035,0.3442912689996465,0.023729261682860728,0.5385346477992494,0.5769230769230769
E02000044,5.614059559965837,6.073470864274573,0.3375472246439988,0.02686470254037822,0.7462542495174267,0.37888198757763975
E02000045,5.473934731207371,6.544779086697834,0.29174503657262274,0.03078345884529,0.7638359308568637,0.1836734693877551
E02000046,5.317545622536897,6.189972445124425,0.17420718816067657,0.02743801652892562,0.8506226702075115,0.09836065573770492
E02000047,5.918955326816303,6.337706779794691,0.2708333333333333,0.02074759945130315,0.8587626000659565,0.2342857142857143
E02000048,6.167214343613984,6.3251415135825875,0.3567376319160617,0.01992227162914464,0.8910473684662349,0.19434628975265017
E02000049,5.754073552566533,6.23740093342656,0.1492610837438424,0.020408163265306117,1.2013763768675112,0.1864406779661017
E02000050,5.674912976660908,6.571912966537511,0.2781708369283865,0.024930747922437664,0.9980446996632754,0.005291005291005291
E02000051,5.967861715806932,6.44872492785599,0.3369755244755245,0.02195706391510588,0.9502108032730315,0.08745247148288973
E02000052,5.71789481983139,6.215110046978073,0.19588744588744594,0.023444088379153315,0.8344116471741052,0.17557251908396945
E02000054,5.627935204512482,6.465201538615432,0.21851503759398497,0.02389196675900277,0.9505513806218749,0.006535947712418301
E02000055,5.520384584851547,6.014846759551932,0.3776960784313725,0.038194444444444434,0.9504064242542619,0.08045977011494253
E02000056,5.73695685625332,5.927283382489014,0.42507193405397,0.02721503101581269,0.8382266311987157,0.22344322344322345
E02000057,4.915383859474508,6.112803636658518,0.3101736972704715,0.047346514047866786,0.708343576905724,0.10714285714285714
E02000058,5.3471326222711815,6.238548774730325,0.32768130745658836,0.03875773260951899,1.1680011668637211,0.1523809523809524
E02000059,5.89247362872522,6.4808053885444945,0.23034227567067533,0.020597555454956996,1.1890230427778892,0.010752688172043012
E02000060,5.110902344426085,6.028474397442144,0.17872807017543854,0.032986111111111105,0.9659692363772237,0.14285714285714285
E02000061,5.359287702947269,6.610965602982859,0.25998251238705916,0.028335522612122348,0.7432582524253021,0.0457516339869281
E02000062,5.120864648336088,6.517307260945121,0.279796511627907,0.0390625,0.8466631500792768,0.42342342342342343
E02000063,5.3727143128192285,6.579394479836407,0.24434782608695657,0.03213610586011342,0.6271028902363537,0.38
